date,type,color,freq
2013-12-30,total,75.18127950032552,3
2013-12-31,total,69.54887252463433,266
2014-01-02,total,84.09091024687795,132
2014-01-06,total,60.86956596374512,92
2014-01-07,total,66.66666997273762,315
2014-01-08,total,70.7446840976147,188
2014-01-09,total,66.16541330437911,19
2014-01-10,total,57.142856870378765,56
2014-01-12,total,75.63739726901392,353
2014-01-13,total,65.57377061687532,61
2014-01-14,total,72.26463048998029,786
2014-01-15,total,65.62499944368999,96
2014-01-17,total,68.20512812687801,195
2014-01-19,total,67.49680709838867,2
2014-01-20,total,70.43344126840125,646
2014-01-21,total,73.35243452449241,349
2014-01-22,total,72.54575765549443,601
2014-01-23,total,55.81818435668945,25
2014-01-26,total,71.35678579819262,199
2014-01-27,total,77.77778226835234,333
2014-01-28,total,71.01449573903844,138
2014-01-29,total,66.46706477182354,167
2014-01-30,total,78.16901268757564,142
2014-01-31,total,64.00000190734863,50
2014-02-02,total,84.61538461538461,26
2014-02-03,total,76.72727122913707,275
2014-02-04,total,69.8305108280505,295
2014-02-05,total,74.67811260305248,233
2014-02-06,total,67.79660822981495,59
2014-02-08,total,70.73170471191406,1
2014-02-09,total,71.85185298213253,135
